Frame Count, Hist. Correlation, Time per frame FPGA, Time per frame OpenCV 
199,99.9373,339.995,0.322481
200,99.936,340.005,0.275071
201,99.9397,338.009,0.323351
202,99.9444,337.998,0.323322
203,99.944,336.009,0.384682
204,99.9421,339.998,0.280341
205,99.9371,339.97,0.286691
206,99.9367,340.005,0.325331
207,99.9367,341.999,0.286162
208,99.9423,340.002,0.257171
209,99.9482,340.003,0.283701
210,99.9454,342.001,0.289351
211,99.9429,338.001,0.279681
212,99.9427,338.004,0.285041
213,99.9429,338.006,0.327511
214,99.9433,342.006,0.545532
215,99.9433,341.997,0.330301
216,99.9431,341.97,0.327101
217,99.9445,337.999,0.285311
218,99.9443,342.009,0.333541
219,99.9452,340.002,0.327092
220,99.9437,341.996,0.295391
221,99.9437,338.013,0.331952
222,99.9446,339.997,0.328311
223,99.9427,336.001,0.285341
224,99.9422,335.974,0.286131
225,99.9427,338.004,0.280911
226,99.9413,336.006,0.290011
227,99.943,341.997,0.285711
228,99.9422,340.001,0.280751
229,99.9444,338.004,0.280882
230,99.9433,340.017,0.373081
231,99.9436,342.001,0.393691
232,99.9425,339.996,0.326251
233,99.9423,339.972,0.391311
234,99.9436,341.993,0.284641
235,99.9406,342.004,0.285441
236,99.9432,338.001,0.285142
237,99.9427,336.007,0.289301
238,99.9424,340.013,0.287302
239,99.9432,337.994,0.321392
240,99.9426,340.014,0.327221
241,99.9425,341.992,0.275101
242,99.9442,337.969,0.344231
243,99.9423,342.005,0.287911
244,99.9425,343.999,0.325791
245,99.943,340.009,0.327322
246,99.9419,342.001,0.394022
247,99.9424,339.996,0.331172
248,99.9415,342.001,0.327841
249,99.9428,342.001,0.285741
250,99.9418,336.004,0.286261
251,99.9409,338.001,0.286601
252,99.9435,338.006,0.326582
253,99.9435,341.972,0.326881
254,99.9423,341.999,0.325472
255,99.9407,340.005,0.380641
256,99.9361,342.016,0.266641
257,99.9388,337.994,0.281341
258,99.9431,341.992,0.271741
259,99.9453,340.041,0.273191
260,99.9486,337.974,0.279141
261,99.9463,335.97,0.273241
262,99.9432,339.996,0.277791
263,99.9407,336.006,0.335021
264,99.9395,340.016,0.304582
265,99.9395,335.99,0.279151
266,99.939,340.007,0.326001
267,99.9416,338.004,0.284041
268,99.9401,338.008,0.340521
269,99.9396,342.021,0.328671
270,99.9386,341.978,0.324272
271,99.9381,339.977,0.322552
272,99.936,342.001,0.323041
273,99.9375,337.996,0.329351
274,99.9424,342.001,0.246941
275,99.9463,338.004,0.331241
276,99.9442,340.003,0.298961
277,99.9481,336.007,0.288551
278,99.9466,339.969,0.279361
279,99.9436,340.006,0.283731
280,99.9461,336.005,0.326141
281,99.9462,337.999,0.327141
282,99.9426,340.001,0.327452
283,99.9417,338.006,0.287251
284,99.9398,337.999,0.428772
285,99.9406,338.008,0.328422
286,99.9406,337.969,0.331442
287,99.9421,340.004,0.322461
288,99.9431,342.015,0.334332
289,99.94,339.99,0.282391
290,99.9467,338.004,0.337101
291,99.9431,337.999,0.287102
292,99.9431,340.005,0.287531
293,99.9432,336.008,0.327271
294,99.945,339.968,0.327641
295,99.9446,340.015,0.394172
296,99.9442,337.99,0.327461
297,99.9427,338.009,0.328291
298,99.9462,340.002,0.327761
299,99.9439,339.999,0.286561
300,99.9438,334.011,0.394262
301,99.9403,341.999,0.282011
302,99.9437,338.003,0.444912
303,99.9422,337.968,0.283961
304,99.9421,338.005,0.281381
305,99.9333,340.001,0.279441
306,99.9475,338.005,0.303011
307,99.9417,340.03,0.487472
308,99.9438,337.976,0.286771
309,99.9431,338.006,0.284851
310,99.9428,339.991,0.426062
311,99.9441,342.019,0.391202
312,99.9413,339.963,0.285031
313,99.9446,340.009,0.287741
314,99.9461,338.002,0.290021
315,99.9463,338.005,0.285262
316,99.9454,337.999,0.326492
317,99.9446,340.004,0.332072
318,99.9432,342.001,0.247201
319,99.9437,337.979,0.320721
320,99.9427,341.991,0.281211
321,99.943,340.008,0.323881
322,99.9441,342,0.271562
323,99.9455,336.008,0.272531
324,99.9444,344.026,0.392881
325,99.945,341.99,0.328001
326,99.9435,339.982,0.286062
327,99.9456,338.007,0.459713
328,99.9446,340.001,0.245651
329,99.9443,337.971,0.279131
330,99.9439,340.005,0.295732
331,99.9461,338.012,0.286392
332,99.942,337.996,0.291532
333,99.9444,336.019,0.329562
334,99.9433,341.99,0.287461
335,99.9436,337.999,0.326101
336,99.9418,340.002,0.275571
337,99.9449,336.011,0.331381
338,99.9432,341.967,0.249841
339,99.9444,340.004,0.322121
340,99.9445,340.003,0.324331
341,99.9433,341.995,0.278462
342,99.9408,338.01,0.247861
343,99.942,336,0.281811
344,99.9412,340.006,0.279931
345,99.942,340.011,0.258821
346,99.9313,337.998,0.299372
347,99.9337,335.982,0.379042
348,99.9375,343.99,0.238821
349,99.9409,338.02,0.375891
350,99.9428,341.984,0.283661
351,99.9434,338.009,0.276821
352,99.9426,338.001,0.315352
353,99.9417,342.004,0.275151
354,99.9418,335.978,0.375342
355,99.9421,339.991,0.268361
356,99.9417,340.017,0.375052
357,99.9399,341.992,0.312192
358,99.941,339.998,0.276892
359,99.9407,338.003,0.242762
360,99.9384,338.008,0.425062
361,99.9372,338.005,0.316112
362,99.9397,340.005,0.277211
363,99.9382,342,0.316111
364,99.9432,341.969,0.280281
365,99.9419,342.006,0.375682
366,99.9446,340.002,0.381962
367,99.9441,341.996,0.312482
368,99.9463,342.003,0.276112
369,99.9475,337.999,0.276211
370,99.9477,338.004,0.276171
371,99.9446,338.013,0.270201
372,99.9429,337.999,0.313822
373,99.9434,339.968,0.275951
374,99.9425,336.004,0.275352
375,99.943,338.011,0.375002
376,99.944,344.034,0.482272
377,99.9445,345.961,0.316021
378,99.9444,342.007,0.275051
379,99.9433,342.009,0.371182
380,99.9428,341.998,0.314162
381,99.9426,341.99,0.268682
382,99.9451,340.009,0.283552
383,99.9489,336.005,0.267221
384,99.9478,342,0.302331
385,99.9463,339.971,0.270601
386,99.948,340.018,0.375532
387,99.9462,339.984,0.312272
388,99.9464,344.002,0.312322
389,99.9475,338,0.272171
390,99.9481,340.018,0.314192
391,99.9484,341.989,0.312741
392,99.9489,342.007,0.309372
393,99.9485,337.997,0.308491
394,99.9485,337.974,0.311312
395,99.9482,342.001,0.268781
396,99.9464,340.006,0.311582
397,99.9473,338,0.272871
398,99.9461,338.017,0.373372
399,99.9471,341.99,0.312162
400,99.947,337.999,0.267171
401,99.9463,338.006,0.269341
402,99.9465,338.004,0.269071
403,99.9455,338.027,0.336112
404,99.9456,341.953,0.267182
405,99.9466,342.002,0.311312
406,99.9469,338.006,0.349222
407,99.9469,337.996,0.274672
408,99.9462,340.004,0.238392
409,99.9457,336.008,0.273912
410,99.9459,337.979,0.312072
411,99.9473,339.994,0.240361
412,99.9479,340.013,0.312442
413,99.9486,339.994,0.311501
414,99.948,340.009,0.271342
415,99.948,339.993,0.265951
416,99.9492,338.007,0.312932
417,99.9482,344.001,0.275792
418,99.9496,342.005,0.313502
419,99.9494,339.999,0.312342
420,99.9489,340.005,0.267281
421,99.9485,337.972,0.346632
422,99.9469,340,0.237931
423,99.9465,338.002,0.274441
424,99.9471,338.004,0.273982
425,99.9474,342.001,0.263491
426,99.9501,336.016,0.302122
427,99.9488,344.001,0.318182
428,99.9495,339.992,0.277231
429,99.9464,338.008,0.310002
430,99.9438,337.976,0.277932
431,99.9457,340.006,0.372742
432,99.9404,342.023,0.374232
433,99.9389,337.973,0.270952
434,99.9349,340.005,0.311171
435,99.9308,340.002,0.267372
436,99.9298,338.003,0.269051
437,99.9281,340.003,0.315712
438,99.9307,341.979,0.384432
439,99.9453,339.993,0.326752
440,99.9375,340.009,0.322702
441,99.9401,340,0.282872
442,99.9453,336.001,0.326272
443,99.9409,336.007,0.326092
444,99.9412,340.007,0.387272
445,99.9415,342.006,0.320882
446,99.9414,337.996,0.321942
447,99.9414,341.976,0.391913
448,99.9433,341.997,0.282222
449,99.9442,336.003,0.288262
450,99.9447,336.003,0.248141
451,99.9431,338.008,0.279631
452,99.9445,336.001,0.324832
453,99.9445,340.003,0.281392
454,99.9459,342.008,0.324692
455,99.9449,339.998,0.281051
456,99.9435,339.973,0.283711
457,99.9508,338.002,0.282161
458,99.9513,340.005,0.325472
459,99.9508,338.012,0.328032
460,99.9505,340,0.332672
461,99.947,338.001,0.322491
462,99.948,340.005,0.290652
463,99.9463,340.001,0.320582
464,99.9484,339.964,0.285181
465,99.9492,336.004,0.327082
